                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.359,                 5.1775,                 3.5358,                      0,                      0,                      0,                      0,                 2.9894,                 5.3514,                 3.1896,                      0,                      0,                      0
                      2,                 3.3472,                 5.0566,                   3.42,                      0,                      0,                      0,                      0,                 2.8888,                 5.4375,                 3.1428,             1.2253e-05,             1.2253e-05,             1.2253e-05
                      3,                 3.5328,                 5.0474,                 3.2575,                      0,                      0,                      0,                      0,                   2.81,                 5.4082,                 3.1082,              2.401e-05,              2.401e-05,              2.401e-05
                      4,                  3.186,                 5.0844,                 3.3575,                      0,                      0,                      0,                      0,                 2.7532,                 5.3978,                 3.0288,             3.5272e-05,             3.5272e-05,             3.5272e-05
                      5,                 2.7662,                 5.1279,                 2.8575,                      0,                      0,                      0,                      0,                 2.7096,                 5.3642,                 2.9319,              4.604e-05,              4.604e-05,              4.604e-05
                      6,                 3.9824,                 7.8092,                 3.1941,                      0,                      0,                      0,                      0,                 2.6618,                 5.3397,                 2.8847,             5.6313e-05,             5.6313e-05,             5.6313e-05
                      7,                 2.7895,                 5.1462,                 2.7955,                      0,                      0,                      0,                      0,                 2.7236,                 5.3298,                 2.8734,              6.609e-05,              6.609e-05,              6.609e-05
                      8,                 2.5144,                 6.2536,                 2.8546,                      0,                      0,                      0,                      0,                 2.7451,                 5.3213,                 2.8477,             7.5373e-05,             7.5373e-05,             7.5373e-05
                      9,                 3.0887,                 4.9423,                 2.8726,                      0,                      0,                      0,                      0,                 2.8408,                  5.256,                 2.7898,              8.416e-05,              8.416e-05,              8.416e-05
                     10,                 2.5859,                 4.9981,                 2.5865,                      0,                      0,                      0,                      0,                 2.7593,                 5.1655,                  2.625,             9.2453e-05,             9.2453e-05,             9.2453e-05
                     11,                 2.8617,                 4.6863,                 2.4686,                      0,                      0,                      0,                      0,                 2.6808,                 5.0946,                 2.5395,             0.00010025,             0.00010025,             0.00010025
                     12,                 2.2696,                 4.7993,                 2.3966,                      0,                      0,                      0,                      0,                 2.2448,                 5.0872,                 2.2471,             0.00010755,             0.00010755,             0.00010755
                     13,                 2.0896,                  7.026,                 2.1763,                      0,                      0,                      0,                      0,                 1.9257,                 5.0173,                   1.99,             0.00011436,             0.00011436,             0.00011436
                     14,                  2.334,                 6.2518,                 2.4753,                      0,                      0,                      0,                      0,                 1.7343,                 5.0213,                 1.9048,             0.00012067,             0.00012067,             0.00012067
                     15,                 2.5538,                 4.6619,                 2.4015,                      0,                      0,                      0,                      0,                 1.8061,                 4.9751,                   1.93,             0.00012649,             0.00012649,             0.00012649
                     16,                   2.31,                 4.7123,                 2.1488,                      0,                      0,                      0,                      0,                 1.8665,                 4.9609,                 1.9256,             0.00013181,             0.00013181,             0.00013181
                     17,                 2.3178,                 4.9781,                 2.1893,                      0,                      0,                      0,                      0,                 1.9281,                 4.9314,                 1.9224,             0.00013664,             0.00013664,             0.00013664
                     18,                 2.0758,                 4.6779,                 2.2179,                      0,                      0,                      0,                      0,                 1.9281,                 4.9314,                 1.9224,             0.00014097,             0.00014097,             0.00014097
                     19,                 2.1352,                 4.4528,                 1.9838,                      0,                      0,                      0,                      0,                 1.9517,                 4.9071,                 1.9395,             0.00014481,             0.00014481,             0.00014481
                     20,                 2.1456,                 4.6868,                 1.9896,                      0,                      0,                      0,                      0,                 1.9517,                 4.9071,                 1.9395,             0.00014815,             0.00014815,             0.00014815
                     21,                 2.2415,                  4.518,                 2.0508,                      0,                      0,                      0,                      0,                 1.9563,                 4.8559,                 1.9324,               0.000151,               0.000151,               0.000151
                     22,                 1.6382,                 4.4445,                 1.7198,                      0,                      0,                      0,                      0,                 1.9563,                 4.8559,                 1.9324,             0.00015335,             0.00015335,             0.00015335
                     23,                   2.32,                  4.739,                  1.897,                      0,                      0,                      0,                      0,                 1.7745,                 4.8016,                 1.8646,             0.00015521,             0.00015521,             0.00015521
                     24,                 1.8456,                 4.7688,                 1.7763,                      0,                      0,                      0,                      0,                 1.7745,                 4.8016,                 1.8646,             0.00015657,             0.00015657,             0.00015657
                     25,                 1.8158,                 4.5108,                 1.6037,                      0,                      0,                      0,                      0,                 1.7171,                 4.7867,                 1.8224,             0.00015744,             0.00015744,             0.00015744
                     26,                 2.0076,                 4.6343,                 1.8428,                      0,                      0,                      0,                      0,                 1.7171,                 4.7867,                 1.8224,             0.00015781,             0.00015781,             0.00015781
                     27,                 1.8902,                 4.4277,                 1.7106,                      0,                      0,                      0,                      0,                 1.7041,                 4.6755,                 1.7967,             0.00015769,             0.00015769,             0.00015769
                     28,                 1.9571,                 4.3917,                  1.808,                      0,                      0,                      0,                      0,                 1.7041,                 4.6755,                 1.7967,             0.00015707,             0.00015707,             0.00015707
                     29,                 1.8003,                 4.4049,                 1.7447,                0.00072,                0.16667,                0.00154,                0.00086,                 1.6478,                  4.631,                   1.73,             0.00015596,             0.00015596,             0.00015596
                     30,                 2.0208,                 4.2405,                 1.9203,                0.00072,                0.16667,                0.00154,                0.00086,                 1.6478,                  4.631,                   1.73,             0.00015435,             0.00015435,             0.00015435
                     31,                 1.9259,                 4.2655,                 1.8156,                0.00071,                0.16667,                0.00117,                0.00075,                 1.6146,                 4.5243,                 1.7037,             0.00015225,             0.00015225,             0.00015225
                     32,                  1.582,                 4.2158,                 1.4857,                0.00071,                0.16667,                0.00117,                0.00075,                 1.6146,                 4.5243,                 1.7037,             0.00014965,             0.00014965,             0.00014965
                     33,                 1.9308,                 4.1717,                 1.6029,                0.00179,                   0.25,                 0.0077,                0.00242,                  1.614,                 4.4253,                 1.6678,             0.00014656,             0.00014656,             0.00014656
                     34,                 1.9407,                 4.2945,                 1.8309,                0.00179,                   0.25,                 0.0077,                0.00242,                  1.614,                 4.4253,                 1.6678,             0.00014297,             0.00014297,             0.00014297
                     35,                 1.7082,                 4.1047,                 1.6197,                0.00215,                0.33333,                0.02707,                0.01167,                 1.6173,                 4.4393,                 1.6224,             0.00013889,             0.00013889,             0.00013889
                     36,                 1.7788,                  4.058,                 1.6002,                0.00215,                0.33333,                0.02707,                0.01167,                 1.6173,                 4.4393,                 1.6224,             0.00013431,             0.00013431,             0.00013431
                     37,                 1.5912,                 3.8686,                 1.4738,                0.00122,                   0.25,                0.08802,                0.04389,                 1.5732,                 4.4395,                 1.5528,             0.00012924,             0.00012924,             0.00012924
                     38,                  1.591,                 4.0113,                 1.4422,                0.00122,                   0.25,                0.08802,                0.04389,                 1.5732,                 4.4395,                 1.5528,             0.00012367,             0.00012367,             0.00012367
                     39,                 1.7845,                 4.0769,                 1.5404,                0.00204,                0.33333,                0.10486,                0.05382,                 1.5175,                  4.487,                 1.5303,             0.00011761,             0.00011761,             0.00011761
                     40,                 1.3942,                 3.8731,                 1.3964,                0.00204,                0.33333,                0.10486,                0.05382,                 1.5175,                  4.487,                 1.5303,             0.00011105,             0.00011105,             0.00011105
                     41,                  1.461,                 4.1195,                  1.338,                0.00198,                0.33333,                0.10589,                 0.0663,                  1.478,                 4.4975,                 1.4967,               0.000104,               0.000104,               0.000104
                     42,                 1.9538,                 4.4841,                 1.7961,                0.00198,                0.33333,                0.10589,                 0.0663,                  1.478,                 4.4975,                 1.4967,             9.6453e-05,             9.6453e-05,             9.6453e-05
                     43,                 2.1134,                 4.3828,                 2.0415,                0.00192,                0.33333,                0.10739,                0.06881,                 1.4612,                 4.4939,                 1.4869,              8.841e-05,              8.841e-05,              8.841e-05
                     44,                 2.0447,                 4.2348,                  1.822,                0.00192,                0.33333,                0.10739,                0.06881,                 1.4612,                 4.4939,                 1.4869,             7.9873e-05,             7.9873e-05,             7.9873e-05
                     45,                 1.4932,                 3.9859,                 1.4849,                0.00184,                0.33333,                0.14242,                0.07617,                 1.4454,                  4.476,                 1.4523,              7.084e-05,              7.084e-05,              7.084e-05
                     46,                 1.8825,                 4.3917,                 1.6919,                0.00184,                0.33333,                0.14242,                0.07617,                 1.4454,                  4.476,                 1.4523,             6.1312e-05,             6.1312e-05,             6.1312e-05
                     47,                 1.5082,                  3.941,                 1.4982,                0.00176,                0.33333,                0.13848,                0.08102,                  1.478,                 4.5011,                 1.4528,              5.129e-05,              5.129e-05,              5.129e-05
                     48,                 1.5764,                 3.9238,                 1.4767,                0.00176,                0.33333,                0.13848,                0.08102,                  1.478,                 4.5011,                 1.4528,             4.0773e-05,             4.0773e-05,             4.0773e-05
                     49,                 1.7805,                 4.3026,                 1.6353,                0.00171,                0.33333,                0.14557,                0.08249,                 1.4785,                 4.4925,                   1.45,              2.976e-05,              2.976e-05,              2.976e-05
                     50,                  1.622,                 3.8993,                 1.5122,                0.00171,                0.33333,                0.14557,                0.08249,                 1.4785,                 4.4925,                   1.45,             1.8253e-05,             1.8253e-05,             1.8253e-05
